response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Mecklenburg,65 and older,Black,50 to 85 percent,Landline,1,0.7207,0.4022,0.2675,0.4089,10/27/18 0:46
Und,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Union,65 and older,Black,85 percent or higher,Landline,0.8889,0.9191,0.4824,0.3608,0.4702,10/27/18 0:47
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,1.03,0.8169,1.0065,10/27/18 0:48
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,50 to 85 percent,Cell,1,0.8449,0.7686,0.4114,0.7627,10/27/18 0:49
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,50 to 85 percent,Landline,1,0.819,0.959,0.3383,0.9739,10/27/18 0:50
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Landline,1,0.97,0.8677,0.4554,0.8479,10/27/18 0:57
Dem,35 to 49,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Rest,35 to 49,Black,50 to 85 percent,Cell,1,0.5365,1.7929,2.4736,1.4981,10/27/18 0:59
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Union,35 to 49,White,Less than 50 percent,Landline,1,0.4519,0.8617,1.9309,1.0038,10/27/18 0:59
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Black,85 percent or higher,Cell,1,0.8985,1.0431,0.9847,1.0269,10/27/18 0:59
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,50 to 85 percent,Cell,1,0.6532,2.0431,1.72,2.1116,10/27/18 1:00
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Landline,1,0.9121,0.3607,0.233,0.3489,10/27/18 1:03
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9661,0.5877,0.302,0.5697,10/27/18 1:04
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Landline,1,0.9573,1.1156,0.4136,1.0981,10/27/18 1:05
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,1.6456,0.8098,1.608,10/27/18 1:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,50 to 85 percent,Landline,1,0.7188,0.8416,0.4516,0.824,10/27/18 1:08
Dem,65 and older,Grade school,Other,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Not at all likely,Democrat,Nonwhite,Rest,65 and older,Other Non-White,Less than 50 percent,Cell,1,0.1515,1.9487,8.0656,1.1781,10/27/18 1:08
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,1,0.9212,0.7064,0.5229,0.6833,10/27/18 1:08
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,White,50 to 85 percent,Landline,1,0.6725,1.1636,0.9328,1.1967,10/27/18 1:11
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7839,1.9193,1.1149,1.8671,10/27/18 1:12
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9325,1.265,0.927,1.2401,10/27/18 1:17
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Union,65 and older,White,50 to 85 percent,Landline,0.4444,0.6657,0.3212,0.2071,0.2125,10/27/18 1:19
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,50 to 85 percent,Landline,0.2222,0.5563,0.5002,0.3739,0.238,10/27/18 1:20
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,50 to 85 percent,Cell,1,0.5167,1.0626,0.9049,1.1978,10/27/18 1:21
Und,35 to 49,Bachelors' degree,Hispanic,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,Union,35 to 49,Other Non-White,Less than 50 percent,Landline,0.4444,0.2887,0.9837,2.2514,0.7729,10/27/18 1:21
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.8574,0.5087,0.2699,0.5117,10/27/18 1:22
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.934,0.915,0.5198,0.9048,10/27/18 1:26
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8894,1.5247,0.8907,1.3832,10/27/18 1:26
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.3663,0.1837,0.3598,10/27/18 1:27
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,50 to 85 percent,Landline,1,0.8168,1.064,0.4449,1.061,10/27/18 1:29
Und,[DO NOT READ] Refused,High school,Other,Female,Other,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Already voted,[DO NOT READ] Refused,Nonwhite,Rest,65 and older,Other Non-White,Less than 50 percent,Landline,1,0.4812,3.279,3.9956,3.7607,10/27/18 1:29
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Union,50 to 64,White,85 percent or higher,Cell,1,0.8958,0.9402,0.6217,0.9373,10/27/18 1:30
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.9738,0.5771,0.9564,10/27/18 1:31
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,1,0.7451,1.0708,0.4418,1.0829,10/27/18 1:31
3,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9185,1.1887,0.8158,1.1671,10/27/18 1:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,35 to 49,White,50 to 85 percent,Landline,1,0.8353,0.711,0.3918,0.7067,10/27/18 1:32
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Landline,1,0.97,0.8677,0.4554,0.8479,10/27/18 1:33
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.8731,0.7185,0.3722,0.72,10/27/18 1:38
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Mecklenburg,35 to 49,Black,85 percent or higher,Cell,1,0.97,1.0355,0.68,1.0119,10/27/18 1:39
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Rest,35 to 49,Black,Less than 50 percent,Cell,0.7778,0.3555,1.0894,3.3101,0.846,10/27/18 1:39
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.954,0.678,0.2609,0.6678,10/27/18 1:39
Dem,35 to 49,High school,Other,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,Rest,35 to 49,Other Non-White,50 to 85 percent,Landline,1,0.8318,1.9303,1.1911,1.9198,10/27/18 1:42
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,50 to 85 percent,Landline,1,0.804,0.5181,0.2449,0.4414,10/27/18 1:50
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9665,0.9738,0.5791,0.9517,10/27/18 1:59
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,1.0346,0.6079,1.0162,10/27/18 15:37
Und,50 to 64,Graduate or Professional Degree,Black,Male,Black,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,1,0.9492,0.3492,0.2006,0.3443,10/27/18 15:48
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 34,White,Less than 50 percent,Landline,1,0.487,1.2561,2.7309,1.4364,10/27/18 15:49
Dem,65 and older,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,65 and older,White,50 to 85 percent,Landline,1,0.8346,0.8782,0.4857,0.8883,10/27/18 15:55
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Cell,1,0.962,0.7655,0.5317,0.7484,10/27/18 15:57
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,0.5752,0.4561,0.5649,10/27/18 16:04
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,0.9061,0.5257,0.8854,10/27/18 16:08
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.6636,0.3883,0.6518,10/27/18 16:12
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Landline,1,0.97,0.5601,0.2659,0.5473,10/27/18 16:14
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9667,1.1884,0.6961,1.1522,10/27/18 16:16
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 34,White,85 percent or higher,Cell,1,0.9221,0.9855,0.8987,0.9769,10/27/18 16:18
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Landline,0.7778,0.6403,0.4285,0.3521,0.3991,10/27/18 16:21
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,1,0.8473,1.0787,0.5219,1.07,10/27/18 16:23
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9466,0.7497,0.3277,0.7339,10/27/18 16:24
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Rest,50 to 64,Black,Less than 50 percent,Landline,1,0.3008,1.3211,3.8161,1.5928,10/27/18 16:32
Rep,65 and older,Graduate or Professional Degree,Black,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,0.5839,0.3307,0.5735,10/27/18 16:33
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.97,0.448,0.2073,0.4377,10/27/18 16:36
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8723,0.7538,0.3517,0.7555,10/27/18 16:39
Dem,65 and older,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9364,1.9681,0.7713,1.9451,10/27/18 16:40
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,1,0.6381,0.9886,1.0308,1.0605,10/27/18 16:55
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Black,85 percent or higher,Cell,1,0.966,0.6199,0.5887,0.6059,10/27/18 16:56
Dem,50 to 64,High school,Black,Male,Black,Approve,Dems. take House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.8661,1.265,0.997,1.2245,10/27/18 17:11
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.8535,0.4759,0.3146,0.4791,10/27/18 17:12
Und,35 to 49,Graduate or Professional Degree,Black,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Already voted,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Union,35 to 49,Black,85 percent or higher,Cell,1,0.97,0.7835,0.5708,0.7695,10/27/18 17:26
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,1.2615,0.4949,1.2389,10/27/18 17:26
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Union,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.6621,2.3691,1.6501,2.3365,10/27/18 17:31
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Landline,1,0.97,0.5938,0.2232,0.5832,10/27/18 17:35
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,50 to 85 percent,Landline,1,0.7378,1.0229,0.5426,1.0361,10/27/18 17:35
Dem,65 and older,Bachelors' degree,Black,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,0.652,0.3941,0.6323,10/27/18 17:47
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9351,1.6561,0.7615,1.6372,10/27/18 17:49
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,18 to 34,Black,50 to 85 percent,Landline,1,0.7401,1.1341,1.1397,1.1078,10/27/18 18:45
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.8915,0.8124,0.4418,0.8005,10/27/18 19:00
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,50 to 85 percent,Cell,1,0.7334,0.5002,0.2871,0.4889,10/27/18 19:04
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Rest,35 to 49,Black,Less than 50 percent,Cell,0.7778,0.3303,0.6474,2.2724,0.5015,10/27/18 19:13
3,35 to 49,Bachelors' degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Disapp.,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Other,Male,Already voted,or as a member of another political party,[DO NOT READ] Don't know/Refused,Mecklenburg,35 to 49,Unknown,Less than 50 percent,Cell,1,0.4643,0.9861,1.4075,1.141,10/27/18 19:15
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.3281,0.1555,0.3222,10/27/18 19:26
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Union,35 to 49,White,50 to 85 percent,Cell,1,0.5854,0.8547,0.9224,0.8537,10/27/18 19:36
Dem,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,[DO NOT READ] Don't know/Refused,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Union,[DO NOT READ] Don't know/Refused,White,Less than 50 percent,Landline,1,0.2566,1.0179,1.0438,1.1432,10/27/18 19:41
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Union,65 and older,White,50 to 85 percent,Landline,1,0.8401,1.3158,0.911,1.329,10/27/18 19:52
Rep,65 and older,High school,White,Male,White,Approve,Don't know,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.8081,0.9346,0.5772,0.9335,10/27/18 19:57
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,Mecklenburg,18 to 34,Black,85 percent or higher,Cell,1,0.8709,1.0348,1.0032,1.0375,10/27/18 20:06
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9153,0.652,0.4168,0.6404,10/27/18 20:06
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.5438,0.3241,0.5138,10/27/18 20:15
Dem,65 and older,Some college or trade school,Black,Male,Black,Don't know,Dems. take House,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Cell,1,0.887,0.5752,0.4975,0.5745,10/27/18 20:19
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Union,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9354,1.0791,0.4446,1.0668,10/27/18 20:22
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",Union,65 and older,White,50 to 85 percent,Landline,1,0.7413,1.0934,0.7351,1.0679,10/27/18 20:40
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,1.6456,0.8098,1.6161,10/27/18 21:10
